Scheme_name,Category,Category_Equity,Category_Debt,Category_Hybrid,Expense_ratio,Risk_factor,age_in_months,Rating,Net_assets,Return_1wk,Return_1m,Return_3m,Return_6m,Return_1yr,Return_3yr,Return_5yr,Return_10yr,Equity_fund_style_Growth,Equity_fund_style_Value,Equity_fund_style_Blend,Standard Deviation,Sharpe Ratio,Sortino Ratio,NAV_latest,NAV_previous,NAV_52wk_high,NAV_52wk_low,Minimum_Investment,Fund_Manager_Tenure,#_Funds_managed,dbsc_1,agglomerative_1,hierarchy_1,kmeans_1,kmeans_2
Quantum Multi Asset Fund of Funds - Direct Plan,HY-MAA,0,0,1,0.1,3,128,3,49,0.56,-0.02,-0.1,2.92,5.14,12.41,8.11,9.04,1,0,0,8.3,0.66,0.91,25.123,25.132,25.432,23.064,500,10.8,3,0,3,3,3,4
SBI Arbitrage Opportunities Fund - Direct Plan,HY-AR,0,0,1,0.36,0,122,2,8801,0.13,0.41,1.87,3.49,5.82,4.52,5.36,6.55,1,0,0,0.75,0.74,0.9,30.144,30.111,30.144,28.506,5000,10.2,5,0,3,3,3,4
SBI Capital Protection Oriented Fund - Series A (Plan 3) - Direct Plan,HY-CH,0,0,1,0.64,1,46,2,128,0.25,0.49,0.38,1.31,3.89,9.12,0.0,0.0,0,0,1,3.56,0.95,1.25,13.334,13.324,13.338,12.731,5000,3.9,9,0,3,3,3,4
SBI Capital Protection Oriented Fund - Series A (Plan 4) - Direct Plan,HY-CH,0,0,1,0.64,1,45,2,194,0.27,0.51,0.34,1.26,3.79,9.2,0.0,0.0,0,0,1,3.76,0.91,1.22,13.262,13.252,13.271,12.655,5000,3.8,9,0,3,3,3,4
SBI Capital Protection Oriented Fund - Series A (Plan 5) - Direct Plan,HY-CH,0,0,1,0.64,1,42,2,143,0.26,0.51,0.34,1.23,3.86,9.74,0.0,0.0,0,0,1,3.74,0.97,1.29,13.062,13.052,13.071,12.464,5000,3.6,9,0,3,3,3,4
SBI Capital Protection Oriented Fund - Series A (Plan 6) - Direct Plan,HY-CH,0,0,1,0.64,1,41,2,57,0.26,0.5,0.3,1.17,3.99,9.6,0.0,0.0,0,0,1,3.59,0.99,1.33,12.892,12.882,12.903,12.31,5000,3.5,9,0,3,3,3,4
SBI Capital Protection Oriented Fund - Series A (Plan 7) - Direct Plan,HY-CH,0,0,1,0.39,1,37,2,45,0.25,0.51,0.42,1.38,3.91,8.84,0.0,0.0,0,0,1,3.63,0.9,1.18,12.422,12.413,12.424,11.839,5000,3.2,9,0,3,3,3,4
SBI Conservative Hybrid Fund - Direct Plan,HY-CH,0,0,1,0.57,3,122,4,7250,0.25,-0.23,0.02,1.47,6.18,13.78,8.83,9.75,1,0,0,6.16,1.09,1.09,60.341,60.251,60.754,55.991,5000,1.7,4,0,3,3,3,4
SBI Equity Hybrid Fund - Direct Plan,HY-AH,0,0,1,0.79,5,122,3,54493,0.98,-1.3,-4.79,-4.49,-1.98,18.48,10.91,14.7,1,0,0,16.2,0.54,0.61,214.401,213.675,230.481,198.784,1000,10.2,9,0,2,1,3,4
SBI Equity Savings Fund - Direct Plan,HY-EQ S,0,0,1,0.67,3,94,3,2264,0.37,0.01,0.01,-0.83,2.17,14.57,8.07,0.0,1,0,0,10.09,0.62,0.69,19.116,19.055,19.441,17.778,1000,7.9,1,0,3,3,3,4
